apply	no-json
catalog	no-json
compile	no-json
completion	no-json
config	no-json
delete	no-json
dive	no-json
doctor	json
down	no-json
edge	no-json
eject	no-json
env	no-json
exec	no-json
fixfs	no-json
home	no-json
info	no-json
init	no-json
init-system	no-json
install	no-json
list	json
logs	no-json
mcp	no-json
models	no-json
ollama	no-json
open	no-json
presets	no-json
profile	no-json
ps	json
pull	no-json
rebuild-cache	no-json
restart	no-json
run	no-json
secrets	no-json
server	no-json
setup	no-json
shell	no-json
size	no-json
smi	no-json
stats	no-json
status	json
tunnel	no-json
tunnel-down	no-json
up	no-json
update	no-json
url	no-json
validate	no-json
version	no-json
