start,end
compile-orchestrator,appbay-cli
magic-vars,appbay-cli
scoped-env,appbay-cli
secrets-env,appbay-cli
scoped-env-test,appbay-cli
cli-deploy,appbay-cli
cli-route,appbay-cli
web-up,appbay-web
web-worker,appbay-web
web-fulldeploy,appbay-web
web-plan,appbay-web
dh-deploy,dockhand
dh-rewrite,dockhand
dh-traefik-read,dockhand
dh-docker-fetch,dockhand
default-edge,appbay-cli
auth-guard,appbay-cli
release-install,appbay-cli
shepherd-phase,appbay-cli
container-bin,appbay-cli
docs-check,appbay-cli
